City,Locality_Tier,BHK,Bathrooms,Super_Area_sqft,Property_Age_years,Parking,Furnishing,Distance_to_CityCenter_km,Market_Price_INR_Log
Mumbai,Mid,3,2,1009.8,11,0,Fully-Furnished,11.17,16.640522894913836
Mumbai,Premium,2,2,988.6,5,1,Unfurnished,0.5,16.82213019846348
Hyderabad,Premium,2,3,909.9,3,1,Fully-Furnished,0.5,16.121967545491017
Mumbai,Premium,2,2,829.3,8,0,Fully-Furnished,6.01,16.611102478732906
Mumbai,Premium,2,3,808.7,8,1,Semi-Furnished,5.25,16.633028787332435
Hyderabad,Mid,3,4,1199.1,24,1,Fully-Furnished,13.66,16.0455758170452
Mumbai,Premium,4,4,1641.6,12,1,Fully-Furnished,16.18,17.373555664869038
Nagpur,Budget,2,2,731.4,15,0,Fully-Furnished,29.77,14.599377854630914
Pune,Premium,4,4,2019.2,3,1,Semi-Furnished,14.89,16.919270257806467
Bangalore,Mid,3,3,1098.7,11,0,Fully-Furnished,9.48,16.284316534759878
Bangalore,Premium,2,3,882.8,7,1,Fully-Furnished,9.14,16.30903166322277
Hyderabad,Budget,2,2,977.2,11,0,Semi-Furnished,10.09,15.53216009170249
Nagpur,Mid,3,4,1155.9,13,1,Unfurnished,15.41,15.761912014879542
Mumbai,Premium,3,3,1254.8,3,0,Fully-Furnished,17.67,16.96653327585283
Nagpur,Premium,1,2,451.4,7,1,Fully-Furnished,0.5,15.054245593474999
Pune,Premium,2,2,806.1,4,1,Fully-Furnished,0.5,16.11534868149002
Bangalore,Mid,2,3,937.7,11,0,Semi-Furnished,21.51,15.841022306430167
Bangalore,Budget,2,2,1002.8,4,1,Unfurnished,18.53,15.722966591383901
Pune,Mid,2,2,975.8,7,1,Semi-Furnished,7.87,16.012334277189836
Mumbai,Mid,4,4,1471.6,7,0,Unfurnished,4.28,17.04796773729577
Mumbai,Budget,2,3,859.9,8,0,Unfurnished,14.47,16.093527510620955
Pune,Premium,1,1,555.5,16,1,Unfurnished,9.22,15.439061609876841
Mumbai,Budget,2,2,926.9,4,1,Unfurnished,22.35,16.255535769550754
Mumbai,Mid,2,2,941.0,1,1,Semi-Furnished,15.52,16.533275946764117
Mumbai,Budget,1,2,473.3,10,1,Semi-Furnished,22.38,15.500236817064494
Mumbai,Premium,4,4,2088.6,7,1,Semi-Furnished,13.81,17.498468263081215
Mumbai,Premium,3,2,1350.0,6,0,Unfurnished,5.56,17.172730102613922
Bangalore,Mid,1,1,535.4,14,0,Unfurnished,21.47,15.166108049893444
Mumbai,Mid,1,2,505.4,1,1,Unfurnished,10.27,15.888626761807476
Mumbai,Mid,2,2,1006.6,16,1,Fully-Furnished,10.57,16.547528556196053
Mumbai,Premium,5,6,2634.9,1,1,Fully-Furnished,13.32,17.700638245126143
Nagpur,Budget,2,1,948.8,18,0,Semi-Furnished,29.7,14.788281429257838
Pune,Premium,3,3,1207.6,10,1,Fully-Furnished,0.5,16.479975296906645
Hyderabad,Premium,3,3,1204.6,17,1,Fully-Furnished,8.73,16.27809235231125
Pune,Premium,1,2,525.3,1,1,Unfurnished,1.87,15.59923953560118
Nagpur,Premium,3,2,1195.3,12,0,Unfurnished,4.83,15.984804115280106
Pune,Mid,2,2,817.7,11,0,Semi-Furnished,14.66,15.606776071883157
Mumbai,Mid,2,3,850.7,2,0,Semi-Furnished,7.31,16.406300086954506
Bangalore,Budget,3,3,1227.3,11,0,Unfurnished,18.34,16.0689017302902
Nagpur,Mid,1,1,614.3,12,0,Fully-Furnished,9.23,14.885099377741035
Nagpur,Premium,4,5,1626.3,9,1,Unfurnished,6.38,16.342539556445455
Bangalore,Budget,1,1,635.0,10,0,Unfurnished,20.09,15.098991157692915
Pune,Budget,1,1,596.1,19,0,Semi-Furnished,18.47,14.865723606042371
Mumbai,Premium,3,2,1232.5,1,1,Semi-Furnished,13.13,17.07667078271656
Bangalore,Premium,4,5,1905.5,18,1,Unfurnished,1.65,17.03464862844309
Pune,Mid,1,3,569.6,4,1,Semi-Furnished,6.83,15.543152572949205
Mumbai,Mid,2,2,960.4,1,1,Unfurnished,15.96,16.3912093176447
Nagpur,Mid,2,2,1012.8,7,1,Semi-Furnished,15.81,15.403735456975104
Mumbai,Mid,2,3,851.7,3,0,Unfurnished,22.7,16.224228418353
Hyderabad,Mid,1,2,406.7,10,1,Semi-Furnished,15.02,14.958581101935764
Nagpur,Budget,1,1,553.5,14,0,Semi-Furnished,27.4,14.304272151388577
Pune,Mid,3,3,1306.4,5,1,Semi-Furnished,15.76,16.18104481598834
Nagpur,Mid,3,4,1320.3,7,1,Semi-Furnished,7.81,15.919675931259357
Mumbai,Budget,2,2,1106.6,8,1,Fully-Furnished,25.17,16.461113276849076
Hyderabad,Budget,3,3,1009.2,13,0,Semi-Furnished,2.8,15.605541701163643
Mumbai,Budget,2,2,1059.6,21,1,Fully-Furnished,27.1,16.343446524343733
Nagpur,Mid,2,3,854.8,16,1,Unfurnished,19.83,15.13290811441122
Bangalore,Mid,2,3,970.7,3,1,Unfurnished,0.5,16.11947939314536
Mumbai,Mid,1,3,650.1,6,0,Unfurnished,13.31,16.072157361326138
Nagpur,Mid,2,3,904.3,3,1,Semi-Furnished,12.86,15.377519069969871
Pune,Mid,3,3,1366.6,0,1,Unfurnished,10.26,16.33315888425496
Hyderabad,Mid,3,3,1448.8,5,0,Unfurnished,17.29,16.232316259811803
Bangalore,Mid,3,2,837.5,5,1,Semi-Furnished,17.7,15.845589046405069
Mumbai,Budget,2,2,1063.8,9,0,Semi-Furnished,23.31,16.325381734590128
Hyderabad,Mid,2,3,987.4,9,0,Unfurnished,7.02,15.868124819646615
Hyderabad,Mid,3,2,1254.4,15,1,Unfurnished,4.27,16.06661202266895
Nagpur,Mid,3,3,1317.9,17,0,Semi-Furnished,5.47,15.889128927841309
Hyderabad,Mid,2,2,908.5,3,1,Semi-Furnished,18.57,15.667750952410392
Mumbai,Budget,2,2,915.8,17,0,Semi-Furnished,11.17,16.23564559278378
Bangalore,Mid,2,2,845.3,7,1,Semi-Furnished,14.77,15.91120025552009
Mumbai,Mid,3,3,1145.2,9,1,Semi-Furnished,16.19,16.722996692523694
Bangalore,Premium,2,2,926.8,3,0,Unfurnished,10.46,16.268451711745225
Hyderabad,Mid,3,3,1535.4,14,0,Semi-Furnished,13.32,16.1730221871223
Mumbai,Premium,2,2,1107.7,3,1,Semi-Furnished,6.71,16.830432427812077
Hyderabad,Mid,1,2,583.4,3,1,Unfurnished,9.35,15.242275571891147
Bangalore,Mid,2,2,773.0,2,1,Unfurnished,30.86,15.647978895314035
Nagpur,Mid,2,2,1057.9,7,0,Fully-Furnished,4.45,15.602517920464347
Hyderabad,Mid,1,1,540.2,11,1,Unfurnished,16.86,14.97646207610001
Pune,Mid,2,2,971.8,6,0,Semi-Furnished,8.72,16.027236590209267
Hyderabad,Mid,2,2,962.5,17,1,Unfurnished,5.02,15.721019754800961
Pune,Premium,3,3,1350.8,5,1,Semi-Furnished,1.49,16.471772605414177
Nagpur,Mid,1,2,512.9,3,1,Unfurnished,18.35,14.633978516112057
Bangalore,Budget,2,3,1010.6,3,1,Unfurnished,17.3,15.679957908160366
Nagpur,Budget,1,1,519.0,13,0,Unfurnished,26.15,14.271977351279498
Pune,Mid,2,2,790.1,2,1,Unfurnished,23.63,15.69871425899167
Mumbai,Mid,4,4,1332.2,20,0,Fully-Furnished,15.29,16.781836626133227
Nagpur,Mid,1,1,501.5,7,1,Unfurnished,14.63,14.508213639927034
Mumbai,Mid,2,2,903.4,9,1,Semi-Furnished,17.27,16.482828413305437
Bangalore,Budget,3,3,1150.1,2,0,Fully-Furnished,23.75,16.034128979599277
Pune,Mid,1,2,581.5,8,0,Fully-Furnished,15.23,15.227024465990993
Pune,Premium,3,4,1100.9,10,1,Fully-Furnished,11.96,16.325060794750666
Mumbai,Premium,4,4,1819.0,1,0,Semi-Furnished,6.15,17.345388858533195
Mumbai,Premium,2,2,906.1,6,1,Unfurnished,1.08,16.718599716931482
Pune,Budget,2,3,914.2,15,0,Semi-Furnished,9.71,15.65902025050529
Hyderabad,Premium,2,2,953.6,9,1,Fully-Furnished,12.64,16.031188486720172
Mumbai,Mid,2,2,1015.4,10,0,Unfurnished,15.91,16.50004535995501
Hyderabad,Premium,3,4,1195.3,10,1,Unfurnished,10.0,16.172589612740857
Nagpur,Mid,3,4,1340.7,4,1,Unfurnished,6.7,15.775206389201017
Bangalore,Mid,3,2,1099.6,7,1,Unfurnished,8.41,16.154981910624926
Bangalore,Mid,2,2,880.9,6,0,Unfurnished,18.74,15.779892336886729
Hyderabad,Mid,3,2,1263.9,3,0,Unfurnished,27.12,16.00343838748206
Mumbai,Premium,4,4,1515.9,2,1,Fully-Furnished,3.53,17.2358512973646
Bangalore,Mid,2,2,926.6,6,1,Unfurnished,18.74,15.83615758341239
Mumbai,Mid,1,1,350.0,4,1,Unfurnished,16.75,15.221312159620716
Mumbai,Premium,3,3,1424.7,1,1,Fully-Furnished,0.5,17.16972044966307
Nagpur,Premium,4,4,1979.2,4,1,Semi-Furnished,15.55,16.498277753895373
Bangalore,Premium,3,3,1017.1,3,1,Fully-Furnished,13.06,16.37510282256216
Nagpur,Mid,2,3,980.9,9,0,Unfurnished,21.26,15.33320153469283
Bangalore,Premium,2,2,804.6,5,1,Fully-Furnished,11.03,16.15799988046107
Bangalore,Mid,3,3,1008.7,4,1,Semi-Furnished,7.04,16.181914037861464
Hyderabad,Mid,3,3,1002.9,6,0,Unfurnished,5.35,15.880423950300711
Nagpur,Mid,2,3,852.9,5,1,Unfurnished,7.89,15.3974757268227
Mumbai,Budget,3,4,1104.3,26,1,Fully-Furnished,16.79,16.48236737614565
Pune,Mid,1,1,466.9,4,1,Unfurnished,14.1,15.082935793845957
Bangalore,Mid,3,4,1208.0,9,1,Semi-Furnished,19.09,16.22605611382235
Pune,Mid,2,2,663.2,9,1,Semi-Furnished,23.13,15.341684680605331
Bangalore,Budget,1,1,550.7,0,0,Fully-Furnished,18.72,15.096761297654503
Pune,Premium,3,4,1286.7,1,0,Fully-Furnished,10.88,16.37665738727824
Mumbai,Mid,2,2,718.7,5,0,Unfurnished,22.61,16.059668868372828
Nagpur,Mid,2,2,704.6,17,0,Unfurnished,8.22,15.058201256743661
Bangalore,Budget,1,1,643.1,5,0,Semi-Furnished,15.06,15.099283702133498
Hyderabad,Mid,2,3,803.1,0,1,Unfurnished,2.86,15.789051993989338
Pune,Budget,3,3,1167.2,19,0,Fully-Furnished,19.67,15.817461258188574
Nagpur,Mid,2,2,795.3,18,1,Unfurnished,2.61,15.201321802402092
Bangalore,Mid,3,3,1145.0,5,1,Unfurnished,10.07,16.132254046169397
Bangalore,Mid,2,1,949.0,4,1,Unfurnished,21.72,15.976951583888711
Nagpur,Mid,3,3,1309.0,1,1,Semi-Furnished,16.4,15.725118097770933
Hyderabad,Mid,3,3,1267.2,9,1,Semi-Furnished,11.78,16.149113000652683
Nagpur,Budget,2,2,856.5,25,0,Unfurnished,9.34,14.795720994548603
Nagpur,Mid,1,1,443.1,12,1,Fully-Furnished,4.3,14.921277855067746
Mumbai,Mid,2,3,962.3,5,1,Unfurnished,7.93,16.4141035671815
Hyderabad,Mid,2,2,851.5,5,1,Unfurnished,12.45,15.59617149907957
Bangalore,Budget,1,2,423.6,6,1,Unfurnished,16.79,14.593978645808068
Mumbai,Budget,1,1,542.3,25,1,Semi-Furnished,22.96,15.473676346913685
Bangalore,Budget,1,2,506.1,6,0,Unfurnished,28.21,14.65951270774425
Bangalore,Premium,3,4,1132.5,9,1,Semi-Furnished,3.93,16.43969678743244
Hyderabad,Premium,2,2,996.5,6,1,Fully-Furnished,6.01,16.22087243164579
Mumbai,Mid,2,2,987.3,5,0,Semi-Furnished,6.81,16.557726989045108
Pune,Premium,3,4,1097.0,7,1,Semi-Furnished,12.8,16.396137303529567
Mumbai,Budget,2,1,709.2,20,1,Fully-Furnished,21.36,15.82757542141295
Pune,Premium,2,1,670.2,7,1,Semi-Furnished,9.83,15.842642104380811
Bangalore,Premium,2,2,896.7,1,1,Fully-Furnished,17.27,16.134179903069867
Mumbai,Mid,2,3,1075.8,5,1,Unfurnished,12.0,16.704199011008548
Pune,Mid,2,2,979.9,9,1,Semi-Furnished,16.27,15.812259112246464
Pune,Mid,1,2,460.4,7,0,Unfurnished,16.92,14.904684444721232
Bangalore,Premium,3,3,1194.0,15,1,Unfurnished,5.29,16.403527869385535
Hyderabad,Budget,2,2,868.7,13,0,Semi-Furnished,10.57,15.418973656694488
Pune,Premium,2,2,924.8,1,0,Semi-Furnished,4.01,16.24909654456915
Bangalore,Mid,4,4,1593.5,8,1,Semi-Furnished,9.12,16.498324315293406
Pune,Premium,1,1,467.6,9,1,Fully-Furnished,3.64,15.437520707583817
Mumbai,Premium,2,3,958.0,24,1,Semi-Furnished,13.01,16.76838699931827
Mumbai,Mid,2,2,1188.6,8,0,Unfurnished,16.04,16.713684411314418
Pune,Budget,3,4,985.8,14,1,Unfurnished,23.39,15.665216870880505
Pune,Premium,2,2,772.5,5,1,Semi-Furnished,6.16,15.910936047999044
Mumbai,Premium,3,3,1355.6,9,1,Semi-Furnished,16.56,17.170481785571898
Pune,Mid,4,3,1825.6,2,0,Semi-Furnished,18.45,16.520927094013274
Mumbai,Mid,3,3,1047.5,15,1,Unfurnished,16.05,16.663277830869756
Pune,Mid,2,2,942.7,3,1,Unfurnished,2.5,15.977662668486108
Bangalore,Mid,3,4,1138.9,14,1,Unfurnished,11.03,16.19417370978769
Pune,Premium,4,5,1891.6,9,1,Fully-Furnished,11.89,16.749885166091
Hyderabad,Budget,1,1,529.3,15,0,Fully-Furnished,18.43,14.55098659715428
Bangalore,Premium,2,2,724.2,11,1,Unfurnished,11.24,15.957667358085466
Bangalore,Budget,1,2,515.4,10,0,Unfurnished,12.31,14.959405915746078
Hyderabad,Mid,2,2,834.3,6,1,Semi-Furnished,13.56,15.647175762074898
Pune,Budget,2,2,963.0,8,0,Semi-Furnished,15.72,15.62484533926121
Bangalore,Mid,2,2,662.9,1,0,Unfurnished,21.37,15.548573254213906
Hyderabad,Mid,2,3,985.6,6,0,Semi-Furnished,14.6,15.795034245794964
Pune,Premium,2,2,1005.7,10,1,Semi-Furnished,9.42,16.137076764433818
Pune,Mid,2,3,1047.1,14,1,Semi-Furnished,6.15,16.023190509115043
Nagpur,Premium,5,6,2430.8,7,1,Semi-Furnished,9.45,16.712716410149497
Hyderabad,Mid,3,4,1071.4,7,1,Fully-Furnished,5.64,15.993674066315306
Mumbai,Mid,2,2,904.4,17,0,Fully-Furnished,23.37,16.47671314692057
Bangalore,Mid,2,2,919.1,10,1,Fully-Furnished,9.43,15.937909931638762
Hyderabad,Mid,2,2,962.8,0,1,Unfurnished,6.86,15.710021542366324
Pune,Budget,1,1,572.4,2,0,Unfurnished,21.85,14.892430935763397
Nagpur,Mid,2,2,859.3,3,1,Fully-Furnished,22.75,15.246578934073936
Hyderabad,Mid,2,2,849.9,3,1,Unfurnished,12.41,15.678096394575707
Nagpur,Budget,3,4,1344.6,9,0,Fully-Furnished,21.42,15.648862924490667
Nagpur,Mid,2,2,1047.7,10,1,Fully-Furnished,12.6,15.531038879619075
Mumbai,Premium,3,2,1251.4,9,0,Semi-Furnished,19.84,16.94805935344178
Bangalore,Mid,4,4,1754.6,24,0,Fully-Furnished,6.07,16.729548114194568
Nagpur,Premium,2,2,815.6,10,1,Semi-Furnished,7.12,15.478217162402688
Mumbai,Mid,2,3,1001.0,16,1,Unfurnished,9.59,16.5502622792793
Mumbai,Mid,2,2,728.6,25,1,Unfurnished,21.8,16.17308134504012
Bangalore,Mid,4,4,1440.5,5,1,Unfurnished,21.02,16.333961020446996
Pune,Premium,3,4,1109.6,5,1,Unfurnished,18.95,16.154029526064996
Pune,Mid,4,5,1398.7,2,0,Unfurnished,9.51,16.32205972637718
Pune,Premium,2,2,867.1,3,1,Fully-Furnished,6.2,16.068492506409875
Bangalore,Mid,3,3,1081.2,7,1,Fully-Furnished,13.17,16.104484842724865
Bangalore,Mid,2,2,1195.9,4,1,Unfurnished,7.11,16.32633045717612
Hyderabad,Premium,3,3,1312.6,9,1,Semi-Furnished,0.5,16.32483742552297
Bangalore,Premium,1,2,500.1,4,1,Semi-Furnished,1.66,15.7494837441191
Pune,Premium,2,1,875.0,4,1,Fully-Furnished,22.53,15.955305625893933
Bangalore,Mid,1,1,529.1,13,1,Unfurnished,7.66,15.388285523370643
Bangalore,Budget,2,3,912.4,14,0,Unfurnished,19.67,15.554004614017641
Pune,Mid,3,3,1397.5,16,1,Fully-Furnished,8.03,16.402741669258358
Pune,Mid,4,4,1763.8,13,1,Semi-Furnished,9.16,16.49861416422535
Bangalore,Budget,2,2,965.0,6,1,Semi-Furnished,33.43,15.64654154033732
Pune,Budget,1,2,663.7,19,0,Semi-Furnished,22.17,15.125973539639933
Hyderabad,Budget,2,1,850.1,11,0,Semi-Furnished,20.55,15.344737915305915
Pune,Mid,1,1,608.7,5,1,Semi-Furnished,19.19,15.232531000954737
Pune,Premium,3,3,1126.4,5,1,Fully-Furnished,3.05,16.412635455322867
Nagpur,Mid,3,4,1247.0,5,0,Unfurnished,6.89,15.701452450105716
Bangalore,Premium,4,4,2077.5,14,1,Unfurnished,4.14,16.946627643000433
Bangalore,Premium,3,4,1100.0,5,1,Fully-Furnished,14.1,16.342412913204292
Hyderabad,Budget,1,1,540.4,8,0,Semi-Furnished,19.3,14.577743872328773
Mumbai,Premium,3,4,1407.9,2,1,Semi-Furnished,1.17,17.205032816507227
Hyderabad,Budget,2,2,784.3,3,1,Unfurnished,34.13,15.023430362626002
Nagpur,Mid,1,2,483.8,10,1,Semi-Furnished,2.06,14.86787050945413
Bangalore,Mid,4,4,1761.3,8,1,Fully-Furnished,11.68,16.60844495855073
Bangalore,Premium,4,4,1884.6,0,1,Unfurnished,9.36,16.990345086917767
Nagpur,Budget,3,3,1325.1,7,0,Unfurnished,9.58,15.625860318599049
Hyderabad,Premium,3,3,1178.4,13,1,Unfurnished,19.06,16.15690320184875
Mumbai,Mid,3,4,1180.4,4,0,Unfurnished,8.81,16.781552555134375
Hyderabad,Premium,2,3,822.0,6,1,Fully-Furnished,9.96,15.953499388827803
Pune,Premium,3,5,1142.6,0,1,Fully-Furnished,0.5,16.375858189862843
Pune,Premium,2,2,873.0,6,1,Fully-Furnished,0.5,16.071601558796935
Bangalore,Premium,4,5,1626.0,8,1,Unfurnished,10.69,16.82929574267906
Bangalore,Premium,4,3,1391.2,2,0,Unfurnished,12.33,16.551568974656387
Pune,Mid,2,2,774.5,2,1,Unfurnished,23.28,15.667415946213568
Mumbai,Premium,2,3,818.8,13,1,Fully-Furnished,12.59,16.64438278711898
Pune,Mid,2,2,721.2,13,1,Unfurnished,16.0,15.434375297910943
Hyderabad,Premium,3,3,1134.7,8,1,Semi-Furnished,4.55,16.24103682717157
Bangalore,Mid,3,3,1614.0,19,1,Semi-Furnished,10.9,16.6110288150957
Bangalore,Budget,1,2,480.7,21,0,Unfurnished,11.76,14.867669400210284
Hyderabad,Premium,2,2,1073.0,10,1,Semi-Furnished,8.55,16.062116976246546
Bangalore,Budget,2,2,885.1,3,1,Unfurnished,25.45,15.598701757519146
Mumbai,Mid,4,5,1915.8,11,1,Fully-Furnished,14.82,17.308322298289628
Pune,Premium,3,3,1368.7,2,1,Unfurnished,0.5,16.589997103198215
Nagpur,Mid,2,2,1012.8,5,0,Unfurnished,21.73,15.21161811182146
Pune,Premium,2,3,925.9,11,0,Semi-Furnished,12.46,16.0519094798574
Bangalore,Premium,2,2,910.5,3,1,Fully-Furnished,11.55,16.150511145664765
Hyderabad,Mid,1,1,481.8,3,1,Semi-Furnished,7.74,15.253455986963147
Bangalore,Mid,4,4,1543.9,14,0,Unfurnished,8.79,16.481060621139797
Bangalore,Mid,4,5,1966.1,3,0,Semi-Furnished,14.91,16.6799820590835
Pune,Budget,2,2,832.9,1,0,Semi-Furnished,21.59,15.317102201146726
Mumbai,Mid,2,2,704.2,11,1,Unfurnished,16.56,16.224343342958807
Pune,Budget,1,1,368.8,11,0,Unfurnished,18.04,14.478754046815139
Mumbai,Premium,5,6,2187.4,5,0,Fully-Furnished,0.62,17.583732590102787
Mumbai,Mid,2,2,992.3,25,1,Unfurnished,8.06,16.605058162003775
Mumbai,Mid,2,2,977.2,8,0,Unfurnished,15.88,16.411477995942658
Hyderabad,Premium,2,3,889.6,11,0,Unfurnished,11.26,15.906166235519574
Hyderabad,Mid,3,3,1192.0,9,1,Unfurnished,5.73,16.100347886983663
Bangalore,Budget,2,3,695.9,5,1,Unfurnished,27.2,15.315724055040869
Mumbai,Mid,2,3,820.3,7,0,Semi-Furnished,5.2,16.36734194211719
Mumbai,Mid,2,2,802.9,1,0,Unfurnished,11.33,16.367194471035518
Hyderabad,Premium,1,1,527.0,5,1,Fully-Furnished,3.0,15.483468667701297
Nagpur,Budget,3,3,1277.4,4,1,Unfurnished,22.14,15.568591913472014
Hyderabad,Premium,2,3,920.2,13,1,Unfurnished,12.1,15.958459620733738
Bangalore,Mid,1,1,574.5,7,1,Semi-Furnished,19.07,15.372132754557267
Bangalore,Premium,2,3,802.4,8,0,Semi-Furnished,1.34,16.117090646110086
Nagpur,Mid,3,3,1334.2,9,1,Unfurnished,16.34,15.846875599505912
Nagpur,Premium,4,5,1630.0,1,1,Semi-Furnished,9.41,16.279494768700882
Mumbai,Premium,3,4,1302.7,1,1,Semi-Furnished,1.74,17.115116976934807
Mumbai,Mid,2,3,894.3,12,1,Unfurnished,9.05,16.327583749524663
Pune,Mid,2,3,945.3,8,1,Unfurnished,14.21,15.860085642942092
Nagpur,Mid,2,2,1031.8,19,1,Semi-Furnished,14.42,15.346627512995141
Mumbai,Budget,1,1,501.6,13,0,Unfurnished,26.45,15.365530470321046
Pune,Premium,1,1,608.7,10,1,Unfurnished,17.88,15.520456994167597
Pune,Mid,3,3,1173.4,10,1,Fully-Furnished,5.8,16.18619065281428
Mumbai,Budget,2,2,1016.5,20,0,Fully-Furnished,19.5,16.36072185681426
Nagpur,Mid,4,4,1398.0,4,1,Fully-Furnished,18.36,15.844027289989299
Mumbai,Mid,2,2,827.7,26,1,Unfurnished,18.52,16.378890607783372
Pune,Mid,1,1,472.7,5,0,Semi-Furnished,5.18,15.268702998024454
Bangalore,Budget,1,1,498.3,14,1,Semi-Furnished,26.06,14.748421210634447
Nagpur,Mid,2,3,832.4,4,0,Semi-Furnished,18.93,15.205640055537962
Hyderabad,Mid,3,4,1471.7,11,1,Unfurnished,19.42,16.250886919758763
Pune,Mid,2,3,1019.7,3,1,Semi-Furnished,4.84,16.09801926219289
Pune,Premium,3,4,1322.0,21,1,Unfurnished,11.72,16.468065667021904
Pune,Mid,3,3,1452.6,11,1,Fully-Furnished,21.98,16.3308834460456
Pune,Premium,3,4,1127.9,8,1,Fully-Furnished,1.64,16.444859051849782
Mumbai,Mid,1,1,505.9,8,1,Fully-Furnished,12.8,15.945074114601642
Nagpur,Premium,2,3,865.0,3,0,Semi-Furnished,9.84,15.619959836568778
Nagpur,Mid,1,1,615.5,10,1,Unfurnished,8.42,14.97859042775377
Pune,Budget,2,3,709.6,14,0,Semi-Furnished,10.49,15.40780129426889
Bangalore,Mid,4,3,1824.9,14,1,Unfurnished,10.24,16.55610300285722
Mumbai,Budget,1,1,505.5,12,1,Unfurnished,19.68,15.469408893801269
Pune,Mid,3,4,1095.6,16,1,Unfurnished,7.62,16.076620839232607
Bangalore,Premium,4,4,1796.6,0,1,Fully-Furnished,12.02,16.97606308842959
Bangalore,Premium,3,3,1211.8,11,1,Semi-Furnished,3.39,16.490690537456043
Hyderabad,Premium,3,3,1313.9,3,1,Fully-Furnished,16.55,16.42849580252581
Hyderabad,Premium,4,4,1744.3,10,1,Fully-Furnished,2.63,16.75183114567249
Mumbai,Mid,3,4,1507.1,2,1,Unfurnished,12.96,17.04272158829037
Hyderabad,Mid,1,1,462.6,1,0,Fully-Furnished,4.62,15.199780371069167
Hyderabad,Premium,2,2,1062.2,7,1,Fully-Furnished,8.39,16.081304791318484
Nagpur,Mid,3,3,1503.5,7,0,Fully-Furnished,16.82,15.935031578567875
Mumbai,Mid,3,3,1320.9,12,1,Fully-Furnished,0.5,16.917800475332157
Hyderabad,Budget,1,1,626.0,1,1,Semi-Furnished,10.91,15.082110495388953
Pune,Budget,2,2,689.4,11,0,Unfurnished,26.01,15.121320197070014
Hyderabad,Premium,4,4,1633.1,7,1,Semi-Furnished,2.75,16.535337605642237
Hyderabad,Premium,3,3,1465.6,7,1,Semi-Furnished,14.87,16.44351929028107
Pune,Budget,3,4,780.2,9,1,Semi-Furnished,20.91,15.499924579897515
Hyderabad,Mid,2,1,667.0,8,1,Unfurnished,3.31,15.405724467666708
Mumbai,Budget,3,2,1139.6,17,0,Fully-Furnished,18.87,16.349442264967095
Hyderabad,Premium,2,2,1078.4,13,1,Unfurnished,9.9,16.147307305572458
Nagpur,Mid,2,2,1091.1,16,0,Fully-Furnished,8.04,15.582808433748314
Bangalore,Budget,2,3,866.4,9,1,Semi-Furnished,23.43,15.615043071985784
Bangalore,Premium,3,2,1271.9,12,1,Semi-Furnished,9.25,16.63751198864782
Mumbai,Budget,2,2,869.8,19,1,Unfurnished,19.78,16.218424579385108
Nagpur,Mid,2,3,1042.0,11,1,Fully-Furnished,16.76,15.535190969757405
Mumbai,Premium,2,2,1038.4,4,1,Fully-Furnished,10.21,16.8126878869226
Mumbai,Premium,5,5,2142.8,9,1,Semi-Furnished,7.03,17.54539312619532
Bangalore,Budget,1,1,587.9,12,0,Unfurnished,18.55,14.96440618118215
Mumbai,Budget,1,1,584.9,0,1,Unfurnished,23.67,15.677013261531092
Pune,Mid,1,2,761.7,3,1,Semi-Furnished,18.68,15.747935329530925
